r                        V(r)
1.061061061061061128e+00 -1.189480441655922593e+00
1.066066066066066131e+00 -2.935833996821581415e+00
1.071071071071071135e+00 -4.421839093963609635e+00
1.076076076076076138e+00 -5.675830548059987102e+00
1.081081081081081141e+00 -6.723306046154861271e+00
1.086086086086086144e+00 -7.587201627487280220e+00
1.091091091091091148e+00 -8.288140747499319616e+00
1.096096096096096151e+00 -8.844659446086312826e+00
1.101101101101101154e+00 -9.273409900397412642e+00
1.106106106106106157e+00 -9.589344425300478036e+00
1.111111111111111160e+00 -9.805881788111806330e+00
1.116116116116116164e+00 -9.935057526389618587e+00
1.121121121121121167e+00 -9.987659796717194283e+00
1.126126126126126170e+00 -9.977101818703545177e+00
1.131131131131131173e+00 -9.921135657541444886e+00
1.136136136136136177e+00 -9.826798494952079466e+00
1.141141141141141180e+00 -9.699878951109843328e+00
1.146146146146146183e+00 -9.545510100402054832e+00
1.151151151151151186e+00 -9.368236999205079130e+00
1.156156156156156189e+00 -9.172077533187781739e+00
1.161161161161161193e+00 -8.960577232596946828e+00
1.166166166166166196e+00 -8.736858641620376176e+00
1.171171171171171199e+00 -8.503665771533196249e+00
1.176176176176176202e+00 -8.263404116341490635e+00
1.181181181181181206e+00 -8.018176663529271053e+00
1.186186186186186209e+00 -7.769816290823400529e+00
1.191191191191191212e+00 -7.519914902194658524e+00
1.196196196196196215e+00 -7.269849622229739516e+00
1.201201201201201219e+00 -7.020806337193797653e+00
1.206206206206206222e+00 -6.773800843243229508e+00
1.211211211211211225e+00 -6.529697837061812393e+00
1.216216216216216228e+00 -6.289227961424154856e+00
1.221221221221221231e+00 -6.053003097607575711e+00
1.226226226226226235e+00 -5.821530077967961070e+00
1.231231231231231238e+00 -5.595222975177676972e+00
1.236236236236236241e+00 -5.374414109423066854e+00
1.241241241241241244e+00 -5.159363901120791240e+00
1.246246246246246248e+00 -4.950269684296251249e+00
1.251251251251251251e+00 -4.747273584546928049e+00
1.256256256256256254e+00 -4.550469555374133890e+00
1.261261261261261257e+00 -4.359909657505006919e+00
1.266266266266266260e+00 -4.175609657548569942e+00
1.271271271271271264e+00 -3.997554014850935200e+00
1.276276276276276267e+00 -3.825700318658384891e+00
1.281281281281281270e+00 -3.659983231593908481e+00
1.286286286286286273e+00 -3.500317989940069374e+00
1.291291291291291277e+00 -3.346603506242221027e+00
1.296296296296296280e+00 -3.198725115249684503e+00
1.301301301301301283e+00 -3.056557000152284598e+00
1.306306306306306286e+00 -2.919964332403681695e+00
1.311311311311311290e+00 -2.788805155113191603e+00
1.316316316316316293e+00 -2.662932037000189656e+00
1.321321321321321296e+00 -2.542193521208504503e+00
1.326326326326326299e+00 -2.426435390844567497e+00
1.331331331331331302e+00 -2.315501770907068213e+00
1.336336336336336306e+00 -2.209236084294544433e+00
1.341341341341341309e+00 -2.107481877790018832e+00
1.346346346346346312e+00 -2.010083532309759224e+00
1.351351351351351315e+00 -1.916886870249477681e+00
1.356356356356356319e+00 -1.827739671450553827e+00
1.361361361361361322e+00 -1.742492108127320583e+00
1.366366366366366325e+00 -1.660997108031500247e+00
1.371371371371371328e+00 -1.583110654170317044e+00
1.376376376376376331e+00 -1.508692028530335794e+00
1.381381381381381335e+00 -1.437604006480480479e+00
1.386386386386386338e+00 -1.369713007826614204e+00
1.391391391391391341e+00 -1.304889209858956844e+00
1.396396396396396344e+00 -1.243006627165664124e+00
1.401401401401401348e+00 -1.183943162474933697e+00
1.406406406406406351e+00 -1.127580632328457622e+00
1.411411411411411354e+00 -1.073804770975879119e+00
1.416416416416416357e+00 -1.022505215508603182e+00
1.421421421421421361e+00 -9.735754749177190082e-01
1.426426426426426364e+00 -9.269128854612410651e-01
1.431431431431431367e+00 -8.824185544569843609e-01
1.436436436436436370e+00 -8.399972943761562227e-01
1.441441441441441373e+00 -7.995575488964202782e-01
1.446446446446446377e+00 -7.610113123793128542e-01
1.451451451451451380e+00 -7.242740440632341459e-01
1.456456456456456383e+00 -6.892645781077851863e-01
1.461461461461461386e+00 -6.559050304861610003e-01
1.466466466466466390e+00 -6.241207035980097517e-01
1.471471471471471393e+00 -5.938399893641284066e-01
1.476476476476476396e+00 -5.649942714652788078e-01
1.481481481481481399e+00 -5.375178272990493999e-01
1.486486486486486402e+00 -5.113477301499831373e-01
1.491491491491491406e+00 -4.864237519981522984e-01
1.496496496496496409e+00 -4.626882673291188852e-01
1.501501501501501412e+00 -4.400861582529558280e-01
1.506506506506506415e+00 -4.185647211910238918e-01
1.511511511511511419e+00 -3.980735753458403137e-01
1.516516516516516422e+00 -3.785645731310598450e-01
1.521521521521521425e+00 -3.599917127047979060e-01
1.526526526526526428e+00 -3.423110527197695818e-01
1.531531531531531432e+00 -3.254806293775950321e-01
1.536536536536536435e+00 -3.094603758517247560e-01
1.541541541541541438e+00 -2.942120441234397643e-01
1.546546546546546441e+00 -2.796991292579610877e-01
1.551551551551551444e+00 -2.658867961325892537e-01
1.556556556556556448e+00 -2.527418086157287025e-01
1.561561561561561451e+00 -2.402324611844151303e-01
1.566566566566566454e+00 -2.283285129583505491e-01
1.571571571571571457e+00 -2.170011241202823016e-01
1.576576576576576461e+00 -2.062227946856683980e-01
1.581581581581581464e+00 -1.959673055788155871e-01
1.586586586586586467e+00 -1.862096619679196041e-01
1.591591591591591470e+00 -1.769260388075663826e-01
1.596596596596596473e+00 -1.680937285341576048e-01
1.601601601601601477e+00 -1.596910908573200283e-01
1.606606606606606702e+00 -1.516975045885461115e-01
1.611611611611611705e+00 -1.440933214470370149e-01
1.616616616616616708e+00 -1.368598217818839391e-01
1.621621621621621712e+00 -1.299791721493137875e-01
1.626626626626626715e+00 -1.234343846836270103e-01
1.631631631631631718e+00 -1.172092782006797645e-01
1.636636636636636721e+00 -1.112884409732287083e-01
1.641641641641641725e+00 -1.056571951181431851e-01
1.646646646646646728e+00 -1.003015625363584823e-01
1.651651651651651731e+00 -9.520823234746762787e-02
1.656656656656656734e+00 -9.036452976199890741e-02
1.661661661661661737e+00 -8.575838633568184932e-02
1.666666666666666741e+00 -8.137831155134352124e-02
1.671671671671671744e+00 -7.721336567548174601e-02
1.676676676676676747e+00 -7.325313383801719536e-02
1.681681681681681750e+00 -6.948770128521916667e-02
